,reference,SEED_169,SEED_151,SEED_167,SEED_193,SEED_133,SEED_105,SEED_161,SEED_195,SEED_159,SEED_157,SEED_103,SEED_135,SEED_047,SEED_049,SEED_085,SEED_071,SEED_025,SEED_013,SEED_083,SEED_077,SEED_041,SEED_079,SEED_015,SEED_023,SEED_039,SEED_001,SEED_037,SEED_097,SEED_063,SEED_055,SEED_099,SEED_031,SEED_009,SEED_007,SEED_053,SEED_091,SEED_065,SEED_117,SEED_119,SEED_121,SEED_175,SEED_181,SEED_143,SEED_127,SEED_111,SEED_129,SEED_189,SEED_145,SEED_173,SEED_187,SEED_137,SEED_101,SEED_139,SEED_199,SEED_155,SEED_197,SEED_163,SEED_107,SEED_109,SEED_131,SEED_191,SEED_165,SEED_153,SEED_021,SEED_019,SEED_017,SEED_043,SEED_075,SEED_081,SEED_029,SEED_011,SEED_027,SEED_073,SEED_087,SEED_045,SEED_089,SEED_067,SEED_093,SEED_051,SEED_069,SEED_005,SEED_033,SEED_057,SEED_059,SEED_061,SEED_095,SEED_035,SEED_003,SEED_185,SEED_171,SEED_149,SEED_147,SEED_113,SEED_125,SEED_179,SEED_141,SEED_183,SEED_177,SEED_123,SEED_115,average,std
213,8520.0,50.0,55.0,42.0,60.0,19.0,54.0,47.0,19.0,28.0,46.0,26.0,45.0,36.0,20.0,53.0,16.0,44.0,30.0,30.0,35.0,47.0,54.0,37.0,58.0,27.0,22.0,49.0,31.0,63.0,60.0,58.0,20.0,54.0,57.0,22.0,49.0,55.0,52.0,37.0,0.0,57.0,34.0,24.0,69.0,52.0,55.0,58.0,46.0,64.0,30.0,52.0,42.0,26.0,58.0,21.0,67.0,67.0,60.0,37.0,53.0,65.0,42.0,43.0,51.0,63.0,49.0,46.0,12.0,54.0,67.0,41.0,22.0,39.0,31.0,57.0,38.0,55.0,35.0,46.0,23.0,67.0,54.0,33.0,46.0,6.0,35.0,15.0,29.0,45.0,50.0,35.0,55.0,64.0,25.0,45.0,53.0,50.0,14.0,34.0,17.0,126.23762376237623,839.5225676268326
214,8560.0,47.0,61.0,34.0,66.0,20.0,53.0,56.0,19.0,26.0,43.0,21.0,54.0,34.0,16.0,43.0,16.0,53.0,32.0,27.0,43.0,47.0,57.0,36.0,63.0,29.0,21.0,48.0,31.0,58.0,57.0,57.0,19.0,56.0,60.0,24.0,54.0,52.0,49.0,40.0,0.0,61.0,33.0,26.0,62.0,51.0,63.0,46.0,46.0,74.0,31.0,52.0,44.0,28.0,50.0,23.0,65.0,61.0,53.0,34.0,43.0,49.0,47.0,42.0,40.0,52.0,44.0,50.0,12.0,52.0,57.0,40.0,19.0,43.0,31.0,64.0,35.0,55.0,37.0,41.0,25.0,56.0,50.0,34.0,54.0,1.0,34.0,16.0,26.0,55.0,35.0,37.0,54.0,60.0,24.0,44.0,58.0,52.0,14.0,32.0,17.0,125.9009900990099,843.5534986285843
215,8600.0,45.0,67.0,34.0,71.0,22.0,54.0,57.0,20.0,25.0,35.0,21.0,49.0,33.0,13.0,53.0,18.0,58.0,33.0,28.0,42.0,55.0,55.0,42.0,58.0,29.0,21.0,43.0,31.0,56.0,52.0,65.0,19.0,61.0,61.0,24.0,57.0,59.0,50.0,49.0,0.0,54.0,31.0,27.0,57.0,46.0,69.0,38.0,45.0,67.0,34.0,56.0,48.0,31.0,45.0,24.0,64.0,57.0,54.0,31.0,53.0,52.0,46.0,38.0,35.0,41.0,42.0,55.0,11.0,49.0,53.0,35.0,18.0,42.0,33.0,73.0,34.0,43.0,41.0,35.0,25.0,54.0,50.0,34.0,53.0,13.0,35.0,17.0,26.0,49.0,34.0,48.0,57.0,52.0,24.0,43.0,63.0,58.0,0.0,30.0,18.0,126.2871287128713,847.5203708131393
216,8640.0,44.0,66.0,33.0,66.0,24.0,55.0,50.0,21.0,23.0,37.0,20.0,61.0,31.0,0.0,58.0,18.0,55.0,33.0,28.0,50.0,61.0,56.0,50.0,67.0,29.0,20.0,41.0,31.0,50.0,53.0,66.0,18.0,60.0,60.0,24.0,54.0,60.0,53.0,49.0,0.0,53.0,31.0,29.0,54.0,34.0,66.0,48.0,38.0,64.0,35.0,49.0,53.0,33.0,50.0,26.0,59.0,46.0,55.0,30.0,60.0,40.0,42.0,39.0,40.0,48.0,40.0,54.0,14.0,43.0,57.0,36.0,18.0,41.0,31.0,69.0,33.0,35.0,34.0,41.0,26.0,55.0,51.0,35.0,53.0,10.0,37.0,17.0,25.0,40.0,35.0,47.0,61.0,53.0,25.0,45.0,50.0,63.0,0.0,29.0,18.0,126.31683168316832,851.5196657751615
217,8680.0,49.0,68.0,31.0,61.0,26.0,53.0,47.0,22.0,22.0,32.0,19.0,49.0,28.0,0.0,60.0,19.0,50.0,34.0,28.0,39.0,55.0,51.0,49.0,63.0,28.0,19.0,37.0,30.0,57.0,54.0,65.0,17.0,57.0,61.0,24.0,48.0,53.0,57.0,49.0,14.0,46.0,31.0,32.0,66.0,33.0,58.0,53.0,39.0,69.0,36.0,46.0,53.0,34.0,52.0,29.0,61.0,54.0,50.0,29.0,49.0,42.0,48.0,35.0,34.0,52.0,44.0,45.0,14.0,43.0,57.0,35.0,18.0,53.0,29.0,68.0,33.0,45.0,33.0,42.0,25.0,54.0,48.0,41.0,46.0,13.0,37.0,17.0,25.0,42.0,42.0,47.0,59.0,51.0,26.0,36.0,51.0,67.0,0.0,29.0,17.0,126.41584158415841,855.4969752141321
218,8720.0,48.0,66.0,30.0,61.0,27.0,60.0,41.0,24.0,22.0,28.0,18.0,41.0,28.0,0.0,56.0,20.0,47.0,35.0,26.0,35.0,52.0,42.0,47.0,54.0,30.0,18.0,44.0,30.0,61.0,51.0,48.0,15.0,60.0,63.0,25.0,53.0,53.0,63.0,54.0,16.0,45.0,30.0,34.0,61.0,35.0,65.0,63.0,51.0,64.0,41.0,46.0,50.0,45.0,50.0,31.0,61.0,55.0,53.0,28.0,59.0,54.0,50.0,32.0,34.0,61.0,53.0,34.0,15.0,36.0,71.0,33.0,18.0,53.0,28.0,61.0,31.0,49.0,33.0,46.0,25.0,63.0,49.0,43.0,48.0,8.0,35.0,17.0,23.0,39.0,54.0,46.0,57.0,52.0,25.0,34.0,53.0,67.0,0.0,29.0,17.0,127.27722772277228,859.4214738296008
219,8760.0,43.0,63.0,29.0,67.0,29.0,60.0,52.0,26.0,22.0,29.0,18.0,44.0,29.0,0.0,53.0,21.0,45.0,46.0,25.0,43.0,64.0,36.0,49.0,54.0,30.0,18.0,51.0,30.0,51.0,53.0,55.0,15.0,53.0,64.0,25.0,53.0,54.0,69.0,61.0,17.0,45.0,28.0,35.0,61.0,35.0,66.0,54.0,39.0,67.0,41.0,39.0,47.0,54.0,52.0,33.0,61.0,58.0,49.0,25.0,58.0,52.0,53.0,30.0,35.0,64.0,55.0,33.0,16.0,32.0,67.0,30.0,19.0,45.0,27.0,58.0,32.0,50.0,32.0,55.0,25.0,60.0,56.0,45.0,46.0,14.0,34.0,17.0,22.0,36.0,57.0,46.0,60.0,45.0,25.0,32.0,57.0,59.0,8.0,28.0,17.0,127.99009900990099,863.3477724182728
220,8800.0,46.0,60.0,26.0,68.0,32.0,62.0,55.0,29.0,21.0,30.0,17.0,38.0,30.0,0.0,45.0,24.0,40.0,38.0,25.0,58.0,57.0,34.0,48.0,52.0,30.0,17.0,55.0,29.0,53.0,54.0,55.0,16.0,62.0,64.0,26.0,57.0,48.0,59.0,60.0,18.0,37.0,25.0,45.0,64.0,44.0,60.0,50.0,42.0,68.0,41.0,39.0,54.0,65.0,51.0,46.0,65.0,52.0,53.0,25.0,56.0,46.0,58.0,23.0,33.0,58.0,51.0,34.0,16.0,32.0,66.0,30.0,20.0,43.0,27.0,64.0,32.0,49.0,31.0,53.0,25.0,48.0,56.0,48.0,45.0,15.0,31.0,15.0,19.0,36.0,50.0,43.0,63.0,48.0,24.0,29.0,55.0,61.0,12.0,28.0,18.0,128.26732673267327,867.3181824028114
221,8840.0,43.0,62.0,23.0,66.0,35.0,53.0,59.0,32.0,23.0,30.0,15.0,48.0,33.0,5.0,37.0,23.0,47.0,35.0,25.0,64.0,66.0,39.0,50.0,46.0,29.0,18.0,48.0,29.0,55.0,43.0,55.0,17.0,63.0,64.0,26.0,62.0,47.0,48.0,55.0,18.0,35.0,24.0,44.0,64.0,49.0,66.0,46.0,39.0,61.0,44.0,42.0,58.0,58.0,52.0,63.0,63.0,55.0,52.0,22.0,59.0,36.0,49.0,21.0,31.0,61.0,52.0,40.0,17.0,31.0,63.0,30.0,22.0,35.0,27.0,62.0,32.0,46.0,30.0,65.0,26.0,35.0,58.0,51.0,48.0,15.0,27.0,17.0,16.0,42.0,55.0,39.0,64.0,57.0,25.0,26.0,55.0,60.0,12.0,28.0,18.0,128.67326732673268,871.2801905664348
222,8880.0,41.0,69.0,19.0,64.0,43.0,46.0,54.0,36.0,23.0,31.0,16.0,47.0,34.0,12.0,35.0,24.0,54.0,34.0,25.0,64.0,63.0,38.0,57.0,42.0,26.0,20.0,42.0,29.0,60.0,35.0,57.0,17.0,63.0,54.0,24.0,59.0,54.0,49.0,61.0,20.0,35.0,23.0,42.0,58.0,56.0,63.0,51.0,42.0,63.0,42.0,47.0,54.0,64.0,55.0,67.0,63.0,59.0,45.0,21.0,63.0,36.0,41.0,18.0,26.0,64.0,57.0,52.0,18.0,28.0,57.0,24.0,23.0,36.0,26.0,61.0,31.0,48.0,29.0,61.0,25.0,35.0,52.0,39.0,52.0,17.0,26.0,18.0,16.0,45.0,56.0,36.0,68.0,56.0,26.0,18.0,48.0,63.0,3.0,28.0,19.0,128.87128712871288,875.2678081068926
