,reference,SEED_169,SEED_151,SEED_167,SEED_193,SEED_133,SEED_105,SEED_161,SEED_195,SEED_159,SEED_157,SEED_103,SEED_135,SEED_047,SEED_049,SEED_085,SEED_071,SEED_025,SEED_013,SEED_083,SEED_077,SEED_041,SEED_079,SEED_015,SEED_023,SEED_039,SEED_001,SEED_037,SEED_097,SEED_063,SEED_055,SEED_099,SEED_031,SEED_009,SEED_007,SEED_053,SEED_091,SEED_065,SEED_117,SEED_119,SEED_121,SEED_175,SEED_181,SEED_143,SEED_127,SEED_111,SEED_129,SEED_189,SEED_145,SEED_173,SEED_187,SEED_137,SEED_101,SEED_139,SEED_199,SEED_155,SEED_197,SEED_163,SEED_107,SEED_109,SEED_131,SEED_191,SEED_165,SEED_153,SEED_021,SEED_019,SEED_017,SEED_043,SEED_075,SEED_081,SEED_029,SEED_011,SEED_027,SEED_073,SEED_087,SEED_045,SEED_089,SEED_067,SEED_093,SEED_051,SEED_069,SEED_005,SEED_033,SEED_057,SEED_059,SEED_061,SEED_095,SEED_035,SEED_003,SEED_185,SEED_171,SEED_149,SEED_147,SEED_113,SEED_125,SEED_179,SEED_141,SEED_183,SEED_177,SEED_123,SEED_115,average,std
0,0.0,28.0,27.0,27.0,27.0,26.0,27.0,27.0,27.0,27.0,27.0,27.0,28.0,25.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,26.0,28.0,27.0,26.0,27.0,28.0,27.0,27.0,26.0,26.0,26.0,28.0,27.0,27.0,27.0,27.0,26.0,27.0,27.0,26.0,26.0,27.0,26.0,27.0,27.0,26.0,27.0,27.0,27.0,27.0,26.0,27.0,27.0,28.0,27.0,26.0,27.0,26.0,27.0,27.0,27.0,25.0,27.0,27.0,28.0,28.0,26.0,26.0,27.0,28.0,26.0,26.0,29.0,27.0,27.0,27.0,26.0,27.0,27.0,27.0,26.0,26.0,27.0,28.0,27.0,28.0,27.0,28.0,26.0,27.0,27.0,27.0,27.0,28.0,27.0,27.0,27.0,27.0,27.0,26.623762376237625,2.746199841107222
1,40.0,31.0,31.0,31.0,30.0,30.0,32.0,31.0,32.0,30.0,30.0,29.0,32.0,28.0,32.0,30.0,30.0,31.0,34.0,31.0,31.0,32.0,29.0,31.0,32.0,28.0,31.0,30.0,29.0,31.0,31.0,30.0,29.0,32.0,29.0,31.0,30.0,31.0,30.0,30.0,31.0,29.0,29.0,31.0,30.0,32.0,32.0,28.0,32.0,31.0,31.0,30.0,29.0,31.0,30.0,32.0,30.0,30.0,30.0,29.0,31.0,30.0,32.0,29.0,30.0,30.0,31.0,33.0,30.0,31.0,30.0,33.0,30.0,29.0,33.0,31.0,31.0,30.0,30.0,29.0,29.0,31.0,29.0,30.0,32.0,31.0,30.0,31.0,29.0,32.0,32.0,33.0,32.0,30.0,31.0,30.0,31.0,31.0,30.0,31.0,33.0,30.693069306930692,1.520438799725724
2,80.0,32.0,33.0,32.0,31.0,32.0,32.0,31.0,34.0,31.0,31.0,32.0,33.0,31.0,33.0,33.0,32.0,34.0,35.0,33.0,33.0,33.0,30.0,32.0,33.0,30.0,31.0,32.0,32.0,33.0,32.0,30.0,30.0,33.0,29.0,32.0,32.0,32.0,32.0,32.0,33.0,30.0,31.0,33.0,31.0,34.0,35.0,30.0,33.0,33.0,33.0,31.0,31.0,32.0,32.0,34.0,31.0,31.0,32.0,30.0,33.0,31.0,33.0,31.0,32.0,31.0,32.0,34.0,31.0,33.0,32.0,35.0,33.0,30.0,38.0,33.0,34.0,30.0,31.0,31.0,30.0,34.0,31.0,32.0,33.0,32.0,30.0,32.0,29.0,33.0,35.0,36.0,33.0,32.0,32.0,31.0,33.0,32.0,31.0,33.0,35.0,32.62376237623762,4.972899795811144
3,120.0,31.0,32.0,31.0,30.0,32.0,31.0,32.0,35.0,30.0,30.0,33.0,32.0,32.0,33.0,32.0,32.0,31.0,37.0,32.0,33.0,33.0,30.0,33.0,33.0,29.0,30.0,32.0,32.0,33.0,33.0,31.0,30.0,32.0,29.0,33.0,31.0,32.0,33.0,32.0,33.0,29.0,30.0,32.0,31.0,34.0,35.0,29.0,32.0,33.0,32.0,30.0,30.0,31.0,32.0,33.0,30.0,29.0,32.0,29.0,34.0,30.0,32.0,30.0,32.0,32.0,33.0,33.0,32.0,35.0,32.0,36.0,32.0,28.0,35.0,33.0,34.0,30.0,30.0,31.0,30.0,32.0,31.0,30.0,33.0,32.0,30.0,32.0,28.0,34.0,35.0,35.0,34.0,31.0,32.0,31.0,33.0,31.0,30.0,33.0,35.0,32.71287128712871,8.90359437226389
4,160.0,30.0,31.0,29.0,30.0,32.0,29.0,30.0,33.0,29.0,30.0,32.0,31.0,30.0,32.0,32.0,32.0,30.0,34.0,31.0,32.0,34.0,30.0,31.0,30.0,27.0,29.0,30.0,32.0,32.0,31.0,30.0,30.0,32.0,29.0,31.0,30.0,31.0,32.0,31.0,30.0,28.0,28.0,32.0,31.0,32.0,33.0,28.0,30.0,31.0,32.0,30.0,28.0,30.0,32.0,33.0,30.0,28.0,31.0,27.0,34.0,27.0,31.0,29.0,32.0,31.0,32.0,31.0,30.0,35.0,30.0,36.0,31.0,27.0,34.0,31.0,33.0,29.0,29.0,30.0,30.0,30.0,31.0,30.0,32.0,30.0,29.0,30.0,26.0,33.0,34.0,33.0,33.0,29.0,30.0,30.0,32.0,29.0,28.0,30.0,34.0,31.980198019801982,12.935468316023488
5,200.0,32.0,32.0,28.0,30.0,32.0,30.0,31.0,34.0,28.0,31.0,32.0,31.0,30.0,33.0,33.0,33.0,31.0,37.0,31.0,32.0,35.0,30.0,31.0,30.0,28.0,31.0,33.0,32.0,32.0,31.0,31.0,30.0,33.0,30.0,31.0,32.0,31.0,33.0,33.0,31.0,29.0,28.0,34.0,31.0,34.0,35.0,30.0,30.0,31.0,36.0,31.0,28.0,30.0,33.0,34.0,29.0,29.0,30.0,26.0,35.0,27.0,34.0,29.0,34.0,32.0,33.0,31.0,31.0,38.0,30.0,39.0,30.0,26.0,34.0,32.0,33.0,29.0,30.0,31.0,30.0,31.0,34.0,31.0,32.0,32.0,31.0,30.0,26.0,34.0,34.0,33.0,33.0,28.0,29.0,29.0,32.0,28.0,28.0,30.0,34.0,33.00990099009901,16.86961944995312
6,240.0,35.0,33.0,30.0,32.0,35.0,30.0,31.0,35.0,30.0,32.0,33.0,32.0,29.0,35.0,33.0,36.0,32.0,47.0,33.0,34.0,49.0,31.0,32.0,31.0,28.0,30.0,35.0,35.0,32.0,34.0,33.0,32.0,34.0,32.0,33.0,34.0,33.0,35.0,35.0,31.0,29.0,25.0,38.0,33.0,35.0,40.0,30.0,32.0,32.0,45.0,34.0,28.0,32.0,35.0,38.0,29.0,27.0,32.0,27.0,43.0,29.0,37.0,30.0,36.0,33.0,37.0,32.0,29.0,42.0,31.0,44.0,32.0,27.0,36.0,32.0,35.0,28.0,32.0,32.0,33.0,33.0,42.0,34.0,33.0,33.0,34.0,32.0,27.0,35.0,41.0,33.0,34.0,27.0,30.0,30.0,34.0,30.0,29.0,33.0,35.0,35.306930693069305,20.89755425277493
7,280.0,48.0,32.0,33.0,32.0,42.0,32.0,30.0,41.0,32.0,33.0,34.0,33.0,30.0,43.0,34.0,38.0,35.0,58.0,43.0,41.0,56.0,31.0,34.0,33.0,28.0,31.0,45.0,40.0,33.0,35.0,33.0,32.0,35.0,34.0,34.0,37.0,35.0,46.0,39.0,32.0,31.0,27.0,43.0,35.0,35.0,42.0,31.0,35.0,33.0,49.0,36.0,29.0,35.0,48.0,50.0,30.0,28.0,33.0,29.0,53.0,32.0,52.0,31.0,45.0,33.0,45.0,34.0,29.0,49.0,32.0,42.0,34.0,28.0,49.0,32.0,46.0,31.0,34.0,33.0,34.0,35.0,55.0,47.0,35.0,35.0,37.0,33.0,27.0,41.0,47.0,36.0,36.0,28.0,31.0,30.0,41.0,30.0,31.0,34.0,35.0,39.08910891089109,25.106544849012284
8,320.0,45.0,33.0,33.0,33.0,54.0,32.0,30.0,47.0,34.0,33.0,41.0,34.0,33.0,53.0,36.0,40.0,48.0,62.0,50.0,52.0,58.0,32.0,31.0,35.0,25.0,32.0,50.0,41.0,34.0,41.0,35.0,32.0,38.0,35.0,46.0,49.0,52.0,54.0,43.0,33.0,33.0,27.0,49.0,46.0,42.0,47.0,33.0,42.0,33.0,41.0,43.0,28.0,45.0,51.0,49.0,32.0,28.0,35.0,31.0,55.0,34.0,52.0,35.0,50.0,35.0,36.0,34.0,31.0,56.0,34.0,37.0,36.0,30.0,50.0,32.0,50.0,34.0,35.0,33.0,38.0,48.0,60.0,60.0,40.0,35.0,42.0,34.0,27.0,49.0,52.0,38.0,37.0,27.0,31.0,31.0,46.0,31.0,34.0,33.0,46.0,42.59405940594059,29.10825755311797
9,360.0,48.0,34.0,35.0,35.0,54.0,32.0,30.0,48.0,34.0,35.0,45.0,33.0,35.0,60.0,42.0,49.0,46.0,52.0,47.0,52.0,63.0,34.0,31.0,35.0,24.0,33.0,50.0,35.0,34.0,39.0,40.0,31.0,35.0,40.0,48.0,47.0,45.0,49.0,48.0,38.0,35.0,27.0,53.0,45.0,41.0,49.0,33.0,40.0,36.0,47.0,44.0,29.0,39.0,57.0,52.0,33.0,27.0,42.0,33.0,61.0,37.0,52.0,39.0,59.0,42.0,43.0,35.0,32.0,48.0,36.0,34.0,44.0,30.0,59.0,31.0,57.0,35.0,36.0,32.0,44.0,52.0,62.0,47.0,43.0,42.0,48.0,33.0,28.0,45.0,45.0,48.0,40.0,28.0,32.0,32.0,46.0,33.0,42.0,31.0,61.0,44.46534653465346,32.85448395529936
