,reference,SEED_169,SEED_151,SEED_167,SEED_193,SEED_133,SEED_105,SEED_161,SEED_195,SEED_159,SEED_157,SEED_103,SEED_135,SEED_047,SEED_049,SEED_085,SEED_071,SEED_025,SEED_013,SEED_083,SEED_077,SEED_041,SEED_079,SEED_015,SEED_023,SEED_039,SEED_001,SEED_037,SEED_097,SEED_063,SEED_055,SEED_099,SEED_031,SEED_009,SEED_007,SEED_053,SEED_091,SEED_065,SEED_117,SEED_119,SEED_121,SEED_175,SEED_181,SEED_143,SEED_127,SEED_111,SEED_129,SEED_189,SEED_145,SEED_173,SEED_187,SEED_137,SEED_101,SEED_139,SEED_199,SEED_155,SEED_197,SEED_163,SEED_107,SEED_109,SEED_131,SEED_191,SEED_165,SEED_153,SEED_021,SEED_019,SEED_017,SEED_043,SEED_075,SEED_081,SEED_029,SEED_011,SEED_027,SEED_073,SEED_087,SEED_045,SEED_089,SEED_067,SEED_093,SEED_051,SEED_069,SEED_005,SEED_033,SEED_057,SEED_059,SEED_061,SEED_095,SEED_035,SEED_003,SEED_185,SEED_171,SEED_149,SEED_147,SEED_113,SEED_125,SEED_179,SEED_141,SEED_183,SEED_177,SEED_123,SEED_115,average,std
0,0.0,28.0,27.0,27.0,27.0,26.0,27.0,27.0,27.0,27.0,27.0,27.0,28.0,25.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,26.0,28.0,27.0,26.0,27.0,28.0,27.0,27.0,26.0,26.0,26.0,28.0,27.0,27.0,27.0,27.0,26.0,27.0,27.0,26.0,26.0,27.0,26.0,27.0,27.0,26.0,27.0,27.0,27.0,27.0,26.0,27.0,27.0,28.0,27.0,26.0,27.0,26.0,27.0,27.0,27.0,25.0,27.0,27.0,28.0,28.0,26.0,26.0,27.0,28.0,26.0,26.0,29.0,27.0,27.0,27.0,26.0,27.0,27.0,27.0,26.0,26.0,27.0,28.0,27.0,28.0,27.0,28.0,26.0,27.0,27.0,27.0,27.0,28.0,27.0,27.0,27.0,27.0,27.0,26.623762376237625,2.746199841107222
1,40.0,31.0,31.0,31.0,30.0,30.0,32.0,31.0,32.0,30.0,30.0,29.0,32.0,28.0,32.0,30.0,30.0,31.0,34.0,31.0,31.0,32.0,29.0,31.0,32.0,28.0,31.0,30.0,29.0,31.0,31.0,30.0,29.0,32.0,29.0,31.0,30.0,31.0,30.0,30.0,31.0,29.0,29.0,31.0,30.0,32.0,32.0,28.0,32.0,31.0,31.0,30.0,29.0,31.0,30.0,32.0,30.0,30.0,30.0,29.0,31.0,30.0,32.0,29.0,30.0,30.0,31.0,33.0,30.0,31.0,30.0,33.0,30.0,29.0,33.0,31.0,31.0,30.0,30.0,29.0,29.0,31.0,29.0,30.0,32.0,31.0,30.0,31.0,29.0,32.0,32.0,33.0,32.0,30.0,31.0,30.0,31.0,31.0,30.0,32.0,33.0,30.702970297029704,1.5256522997432256
2,80.0,32.0,33.0,31.0,31.0,32.0,32.0,31.0,33.0,31.0,31.0,32.0,33.0,31.0,33.0,33.0,32.0,34.0,35.0,33.0,33.0,34.0,29.0,33.0,33.0,30.0,31.0,32.0,32.0,33.0,32.0,30.0,30.0,33.0,30.0,32.0,32.0,32.0,32.0,31.0,33.0,30.0,31.0,33.0,31.0,33.0,35.0,30.0,33.0,33.0,33.0,30.0,31.0,31.0,32.0,34.0,31.0,31.0,32.0,30.0,33.0,31.0,33.0,31.0,32.0,31.0,32.0,34.0,32.0,33.0,32.0,35.0,32.0,30.0,38.0,33.0,34.0,31.0,30.0,31.0,30.0,34.0,31.0,32.0,33.0,32.0,30.0,32.0,29.0,33.0,34.0,34.0,34.0,32.0,32.0,31.0,33.0,32.0,31.0,33.0,34.0,32.554455445544555,4.96417910720503
3,120.0,31.0,32.0,29.0,31.0,32.0,31.0,32.0,34.0,31.0,30.0,33.0,32.0,32.0,32.0,32.0,32.0,31.0,35.0,32.0,33.0,33.0,29.0,32.0,32.0,29.0,29.0,33.0,32.0,33.0,32.0,29.0,30.0,32.0,28.0,31.0,31.0,32.0,33.0,31.0,32.0,30.0,29.0,32.0,31.0,34.0,35.0,29.0,33.0,33.0,32.0,31.0,29.0,30.0,32.0,33.0,30.0,29.0,32.0,28.0,34.0,29.0,32.0,30.0,33.0,31.0,33.0,31.0,31.0,34.0,31.0,35.0,31.0,29.0,35.0,33.0,33.0,30.0,31.0,30.0,30.0,31.0,31.0,31.0,33.0,31.0,30.0,31.0,28.0,33.0,35.0,35.0,33.0,32.0,31.0,30.0,33.0,30.0,30.0,34.0,34.0,32.415841584158414,8.92351141507111
4,160.0,29.0,30.0,28.0,29.0,30.0,29.0,30.0,34.0,30.0,30.0,31.0,31.0,30.0,31.0,31.0,30.0,28.0,33.0,31.0,31.0,33.0,30.0,30.0,30.0,28.0,27.0,32.0,31.0,31.0,30.0,27.0,29.0,31.0,27.0,31.0,31.0,30.0,31.0,29.0,30.0,28.0,28.0,31.0,30.0,32.0,34.0,27.0,29.0,32.0,32.0,30.0,27.0,29.0,32.0,33.0,28.0,27.0,31.0,26.0,33.0,27.0,31.0,28.0,31.0,30.0,32.0,29.0,30.0,33.0,30.0,34.0,30.0,27.0,34.0,31.0,32.0,27.0,29.0,29.0,30.0,29.0,31.0,30.0,32.0,29.0,29.0,30.0,26.0,33.0,34.0,34.0,31.0,28.0,30.0,29.0,32.0,28.0,28.0,32.0,32.0,31.425742574257427,13.002167781675523
5,200.0,31.0,30.0,27.0,28.0,28.0,28.0,30.0,35.0,29.0,29.0,32.0,30.0,28.0,31.0,32.0,30.0,29.0,34.0,30.0,32.0,33.0,31.0,29.0,29.0,27.0,28.0,33.0,32.0,30.0,28.0,28.0,29.0,31.0,27.0,31.0,31.0,31.0,33.0,28.0,29.0,29.0,28.0,32.0,30.0,34.0,34.0,28.0,29.0,33.0,33.0,30.0,27.0,30.0,33.0,34.0,26.0,28.0,31.0,25.0,34.0,26.0,33.0,29.0,31.0,31.0,32.0,29.0,31.0,35.0,31.0,35.0,29.0,27.0,32.0,32.0,31.0,28.0,31.0,28.0,31.0,28.0,31.0,32.0,30.0,30.0,29.0,30.0,24.0,34.0,34.0,34.0,30.0,27.0,29.0,28.0,31.0,29.0,27.0,30.0,32.0,31.88118811881188,16.973063766977333
6,240.0,31.0,31.0,29.0,29.0,30.0,28.0,30.0,42.0,30.0,29.0,34.0,32.0,28.0,32.0,33.0,32.0,32.0,40.0,33.0,33.0,36.0,31.0,30.0,29.0,27.0,29.0,35.0,34.0,33.0,29.0,29.0,29.0,32.0,25.0,34.0,33.0,33.0,33.0,30.0,30.0,30.0,26.0,34.0,32.0,35.0,40.0,29.0,30.0,32.0,35.0,30.0,26.0,33.0,34.0,47.0,26.0,28.0,33.0,24.0,42.0,27.0,35.0,29.0,31.0,31.0,34.0,29.0,33.0,35.0,33.0,35.0,29.0,27.0,32.0,34.0,32.0,29.0,31.0,29.0,32.0,27.0,34.0,34.0,30.0,30.0,31.0,28.0,25.0,35.0,34.0,37.0,31.0,27.0,27.0,28.0,33.0,31.0,25.0,31.0,31.0,33.475247524752476,20.986367125749787
7,280.0,34.0,31.0,32.0,30.0,33.0,31.0,33.0,40.0,30.0,31.0,35.0,33.0,29.0,34.0,33.0,32.0,33.0,44.0,36.0,34.0,57.0,31.0,32.0,29.0,26.0,29.0,39.0,35.0,35.0,32.0,28.0,30.0,35.0,26.0,43.0,35.0,38.0,36.0,31.0,33.0,33.0,28.0,34.0,35.0,34.0,36.0,30.0,32.0,31.0,47.0,31.0,25.0,34.0,35.0,53.0,27.0,29.0,32.0,26.0,48.0,28.0,39.0,28.0,33.0,32.0,35.0,30.0,35.0,48.0,35.0,35.0,30.0,28.0,32.0,35.0,34.0,31.0,30.0,30.0,33.0,28.0,35.0,34.0,30.0,31.0,33.0,28.0,25.0,35.0,41.0,34.0,33.0,28.0,28.0,29.0,34.0,30.0,25.0,32.0,31.0,35.57425742574257,25.03555749928626
8,320.0,35.0,32.0,33.0,30.0,42.0,32.0,32.0,48.0,31.0,33.0,39.0,35.0,30.0,36.0,34.0,31.0,35.0,40.0,42.0,34.0,55.0,32.0,33.0,30.0,26.0,27.0,37.0,37.0,39.0,34.0,27.0,29.0,46.0,25.0,51.0,45.0,43.0,49.0,32.0,35.0,35.0,29.0,35.0,36.0,37.0,38.0,30.0,34.0,31.0,53.0,31.0,25.0,35.0,39.0,45.0,29.0,29.0,35.0,26.0,45.0,27.0,43.0,27.0,35.0,34.0,34.0,31.0,34.0,52.0,39.0,37.0,33.0,29.0,35.0,36.0,37.0,33.0,28.0,29.0,35.0,28.0,35.0,38.0,30.0,32.0,37.0,29.0,23.0,33.0,50.0,35.0,34.0,29.0,30.0,27.0,41.0,31.0,26.0,32.0,32.0,37.554455445544555,28.99043039360456
9,360.0,40.0,33.0,34.0,31.0,49.0,33.0,28.0,48.0,31.0,34.0,41.0,34.0,33.0,39.0,33.0,30.0,37.0,41.0,37.0,38.0,51.0,33.0,36.0,32.0,25.0,26.0,37.0,47.0,46.0,39.0,24.0,30.0,46.0,24.0,49.0,54.0,39.0,41.0,32.0,46.0,38.0,31.0,43.0,39.0,34.0,36.0,31.0,34.0,31.0,49.0,30.0,25.0,36.0,38.0,46.0,29.0,27.0,42.0,26.0,47.0,19.0,50.0,25.0,36.0,35.0,36.0,32.0,34.0,45.0,49.0,41.0,35.0,28.0,35.0,39.0,47.0,32.0,27.0,31.0,41.0,28.0,40.0,40.0,31.0,34.0,41.0,28.0,23.0,31.0,46.0,34.0,36.0,30.0,29.0,26.0,39.0,30.0,24.0,31.0,32.0,38.84158415841584,32.94992680869508
